ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
1F5C564B04,맛드*,뚝섬,반찬,서울  성동구  상원길,,서울 성동구,20130410,,2_10-25%,2_10-25%,1_10%이하,1_10%이하,5_75-90%,3_상위3구간,,308.73333333333335,621.4125,4.358333333333333,11.174999999999999,11.5875,8.029166666666667,3.6523125000000003,7.254366666666667,9.913925,9.081425000000001,6.515770833333334,6.389354166666667,12.658133333333334,17.331908333333335,15.847741666666666,11.346729166666668,54.32208333333333,5.045,63.925000000000004,14.470833333333333,21.587500000000002,24,2024-12-01
A4369EE806,비타***,행당,반찬,서울 성동구 행당로 79,,서울 성동구,20151112,,2_10-25%,3_25-50%,2_10-25%,3_25-50%,4_50-75%,1_상위1구간,,102.29583333333333,172.73749999999998,9.8125,19.5625,12.279166666666667,9.612499999999999,0.5024208333333333,3.5982916666666664,8.412795833333334,9.796604166666667,5.183191666666667,1.2600791666666666,9.418375,22.112204166666668,25.9075625,13.787641666666666,50.245416666666664,5.167083333333333,86.44166666666666,1.3916666666666666,12.1625,24,2024-12-01
64E401B0CC,청담**,알수없음,반찬,서울 성동구 마조로 55.,,서울 성동구,20160325,,3_25-50%,4_50-75%,3_25-50%,4_50-75%,4_50-75%,1_상위1구간,,108.65416666666665,86.35000000000001,28.370833333333334,0.0,9.366666666666667,,5.459129166666667,3.5970666666666666,9.641104166666667,8.337329166666667,5.313654166666667,11.399204166666665,7.5321,20.2130625,17.400170833333334,11.1030125,48.01,7.81625,79.63333333333333,8.29047619047619,12.080952380952382,24,2024-12-01
CA3624AE85,탕끓****,옥수,반찬,서울 성동구 독서당로 190.,,서울 성동구,20160421,,3_25-50%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,0.07083333333333335,0.10416666666666667,90.95416666666667,79.39999999999999,16.820833333333333,8.25,0.0,30.098238095238095,0.0,2.3847619047619046,21.683666666666664,0.0,5.135095238095238,0.0,1.7390476190476192,38.95919047619048,0.0,5.714285714285714,100.0,0.0,0.0,24,2024-12-01
CDDFB5390C,숙도**,뚝섬,반찬,서울 성동구 상원10길 8-1.,반찬1,서울 성동구,20151030,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,15.822222222222223,5.204166666666667,3.908333333333333,77.6125,62.412499999999994,12.229166666666666,8.029166666666667,4.318895833333333,24.145675,2.7163375,11.571004166666667,21.993758333333332,4.481104166666667,10.804325,2.6128291666666668,8.628995833333333,8.735408333333334,31.29125,5.147083333333334,7.7733333333333325,46.88666666666666,45.333333333333336,24,2024-12-01
B7E66CE21B,달무**,알수없음,반찬,서울 성동구 마장로42길 14.,,서울 성동구,20120914,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,2.5714285714285716,122.47083333333335,144.39583333333334,19.162499999999998,0.0,2.5541666666666667,,5.0400583333333335,6.8877999999999995,7.213458333333333,11.042445833333334,9.582120833333333,7.684941666666667,10.4122,10.949041666666666,16.645054166666664,14.530379166666668,29.3225,9.135833333333332,70.26666666666667,6.641666666666667,23.09583333333333,24,2024-12-01
E411010CB1,진이*******,알수없음,반찬,서울 성동구 왕십리로 410 .,반찬2,서울 성동구,20230329,,4_50-75%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,5_상위5구간,48.12,167.95454545454547,194.5727272727273,25.172727272727272,0.0,9.763636363636364,,1.3753,7.711518181818182,13.7522,4.961313636363636,2.8238863636363636,3.7156090909090906,20.53848181818182,24.488709090909094,13.202322727272728,7.435204545454545,41.66863636363637,18.73909090909091,57.28636363636363,5.5636363636363635,37.14545454545455,22,2024-12-01
A1EFA7F3A4,신세***,금남시장,반찬,서울 성동구 독서당로 297-1.,,서울 성동구,20140613,,2_10-25%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,7.6375,123.45,180.83333333333334,8.575000000000001,15.979166666666666,12.279166666666667,8.529166666666667,1.1654166666666665,3.7012916666666666,7.267108333333333,11.943945833333332,15.285345833333333,1.8054166666666667,5.707041666666666,11.216225,18.4143875,23.506320833333334,25.145416666666666,7.542083333333333,28.208333333333332,4.229166666666667,67.55416666666666,24,2024-12-01
6E8A1269CE,정드****,금남시장,반찬,서울 성동구 독서당로 325-1.,,서울 성동구,20110421,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,19.8,15.950000000000001,15.1875,29.46666666666667,8.5875,8.529166666666667,0.9042416666666666,2.6583916666666667,7.451174999999999,17.306745833333334,12.966520833333334,1.299925,3.7999416666666668,10.665491666666666,24.659920833333334,18.295979166666665,38.0075,5.5008333333333335,82.94166666666668,1.4416666666666667,15.616666666666667,24,2024-12-01
3FEABA501A,도시******,뚝섬,반찬,서울특별시 성동구 상원길 50,,서울 성동구,20230629,,5_75-90%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,2_상위2구간,24.58823529411765,286.34736842105264,407.0473684210527,13.215789473684211,21.573684210526313,11.778947368421052,8.036842105263156,3.7812555555555556,8.183094444444444,6.554155555555556,6.90215,4.923783333333334,8.685411111111112,18.783572222222222,15.045844444444445,15.842294444444443,11.298438888888889,43.873333333333335,14.39611111111111,67.71666666666667,10.516666666666667,21.772222222222222,19,2024-12-01
C6100F7EF1,엄마**,뚝섬,반찬,서울특별시 성동구 상원길 60,,서울 성동구,20200922,,4_50-75%,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,57.73333333333333,77.30833333333334,34.791666666666664,39.887499999999996,9.366666666666667,8.029166666666667,2.7998083333333335,5.677,6.538129166666667,12.868562500000001,15.870220833333333,3.741858333333333,7.714666666666666,8.4785375,16.418937500000002,19.900612499999998,39.30833333333333,5.692083333333334,72.22083333333333,9.720833333333333,18.058333333333334,24,2024-12-01
E1AA339E20,김영*****,행당,반찬,서울특별시 성동구 행당로 75,,서울 성동구,20170315,,3_25-50%,2_10-25%,2_10-25%,2_10-25%,4_50-75%,2_상위2구간,23.53333333333333,327.84999999999997,412.6458333333333,4.8625,8.445833333333333,9.366666666666667,9.612499999999999,0.3434333333333333,2.8616875,8.810420833333334,10.402158333333334,6.1555,0.8565666666666667,7.134145833333334,22.006245833333335,26.031175,15.406999999999998,50.38791666666666,5.117083333333333,83.60833333333333,2.6,13.7875,24,2024-12-01
BBA657190E,신금******,알수없음,반찬,서울특별시 성동구 금호로 173,,서울 성동구,20220302,,4_50-75%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,2_상위2구간,,261.33750000000003,313.3208333333333,5.383333333333333,0.0,13.1,,1.9001041666666667,9.243441666666667,11.953083333333334,9.228325,7.1221125,2.9123958333333335,14.214891666666666,18.438583333333334,14.125841666666666,10.832054166666666,49.432500000000005,5.167083333333333,59.354166666666664,5.2,35.4625,24,2024-12-01
9E60F0517D,공들***,신금호,반찬,서울특별시 성동구 금호산길 59,,서울 성동구,20171106,,3_25-50%,1_10%이하,1_10%이하,2_10-25%,3_25-50%,5_상위5구간,,643.3833333333333,478.1958333333334,1.0666666666666667,3.475,9.366666666666667,9.308333333333334,0.6989125,6.806995833333333,13.885316666666666,7.4676374999999995,3.376925,1.4635875,14.309670833333334,29.198016666666664,15.7073625,7.106408333333333,51.937083333333334,4.932916666666666,72.65833333333333,3.6666666666666665,23.679166666666664,24,2024-12-01
A5C5B7E719,비밀**,알수없음,반찬,서울특별시 성동구 왕십리로 410,,서울 성동구,20191120,,3_25-50%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,4_상위4구간,0.05714285714285714,156.35,109.01666666666667,6.075,0.0,12.279166666666667,,1.3086583333333333,3.202758333333333,7.299129166666667,4.801066666666666,3.678891666666667,5.066341666666667,12.755575,28.6925375,18.8906,14.300275,43.062916666666666,5.767499999999999,64.06666666666666,6.033333333333334,29.90416666666667,24,2024-12-01
75FEAA7D87,진이*******,행당,반찬,서울특별시 성동구 행당로 104-1,반찬2,서울 성동구,20210527,,4_50-75%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,34.0625,175.5625,200.67916666666667,11.595833333333333,16.004166666666666,9.366666666666667,9.612499999999999,1.6057875,5.814320833333333,10.064579166666666,9.531516666666667,5.398924999999999,3.3650458333333333,12.185679166666667,21.06875416666667,19.776816666666665,11.184408333333332,42.48708333333334,5.4383333333333335,80.20416666666667,3.3833333333333333,16.412499999999998,24,2024-12-01
D2C222F8FA,청담*,알수없음,반찬,서울특별시 성동구 무학봉길 64-4,,서울 성동구,20210209,,4_50-75%,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,36.608333333333334,46.29583333333333,24.208333333333332,0.0,12.166666666666666,,1.2198,3.5956458333333337,5.593679166666667,11.339687500000002,8.5901625,2.7426999999999997,8.3001875,12.793820833333333,26.089479166666667,19.739004166666668,41.790416666666665,6.207083333333333,79.00416666666666,6.091666666666666,14.904166666666667,24,2024-12-01
57D8D0DAEE,올쿡*******,한양대,반찬,서울특별시 성동구 사근동길 20-1,,서울 성동구,20240405,,5_75-90%,4_50-75%,2_10-25%,2_10-25%,6_90%초과(하위 10% 이하),1_상위1구간,,59.166666666666664,377.0111111111111,38.03333333333333,67.08888888888889,11.88888888888889,11.577777777777778,42.457455555555555,5.699188888888888,2.3622666666666667,3.3327666666666667,1.025011111111111,34.90921111111111,4.667477777777778,1.937733333333333,2.7227888888888887,0.8638777777777777,43.2,25.17,60.955555555555556,2.5777777777777775,36.47777777777778,9,2024-12-01
8AA06764E9,나누***,왕십리,반찬,서울특별시 성동구 행당로17길 32,,서울 성동구,20200421,,3_25-50%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,,376.56666666666666,341.78749999999997,3.7416666666666667,12.645833333333334,9.366666666666667,9.583333333333334,1.7673083333333333,2.891875,7.368825,13.844354166666667,11.831716666666667,2.903525,4.770625,12.139508333333334,22.851479166666667,19.630783333333333,48.407916666666665,5.225833333333333,79.54166666666667,5.1499999999999995,15.316666666666668,24,2024-12-01
